epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5774.27,1.25219,1.39456,1.08559,0.91002,0.89555,0.94944,0.53678,1.43513,1.24202,1.13312,0.000459174,0.000459174,0.000459174
43,5886.37,1.3318,1.3968,1.14787,0.89234,0.88555,0.94761,0.52182,1.45047,1.25789,1.1396,0.000448464,0.000448464,0.000448464
44,5998.02,1.21987,1.32908,1.08911,0.85914,0.90206,0.95239,0.64605,1.13246,1.18425,1.00634,0.000437668,0.000437668,0.000437668
45,6109.07,1.26685,1.40106,1.14602,0.87739,0.89602,0.95725,0.66039,1.11262,1.15672,0.99916,0.000426796,0.000426796,0.000426796
46,6218.59,1.2993,1.41288,1.16657,0.91291,0.9049,0.95955,0.64841,1.16425,1.12205,1.01803,0.000415859,0.000415859,0.000415859
47,6329.25,1.19092,1.36687,1.12196,0.91333,0.90864,0.96394,0.58639,1.33402,1.14245,1.0783,0.000404867,0.000404867,0.000404867
48,6439.9,1.1891,1.30978,1.10108,0.93292,0.91708,0.96882,0.58513,1.32836,1.10316,1.0752,0.000393831,0.000393831,0.000393831
49,6550.94,1.1962,1.27731,1.09485,0.92175,0.9261,0.969,0.62684,1.19237,1.0542,1.02857,0.000382762,0.000382762,0.000382762
50,6659.39,1.18129,1.25779,1.08857,0.92776,0.94014,0.96994,0.64715,1.15959,1.03452,1.01595,0.000371672,0.000371672,0.000371672
51,6767.92,1.23293,1.25579,1.11041,0.91244,0.95554,0.97075,0.6636,1.13228,1.03404,1.00432,0.00036057,0.00036057,0.00036057
52,6878.37,1.11892,1.21099,1.05684,0.90304,0.91462,0.96033,0.67655,1.07725,1.15367,0.98204,0.000349468,0.000349468,0.000349468
53,6987.95,1.17975,1.29247,1.06193,0.89569,0.89907,0.96085,0.68157,1.06941,1.14558,0.9829,0.000338378,0.000338378,0.000338378
54,7096.89,1.15807,1.27682,1.08219,0.89751,0.93889,0.96723,0.68567,1.07139,1.08872,0.98691,0.000327309,0.000327309,0.000327309
55,7207.6,1.17999,1.25297,1.09317,0.92539,0.94199,0.97252,0.68251,1.0822,1.03455,0.99298,0.000316273,0.000316273,0.000316273
56,7317.71,1.14973,1.17289,1.06844,0.92596,0.94426,0.97419,0.67974,1.09784,1.00313,1.00104,0.000305281,0.000305281,0.000305281
57,7427.78,1.16037,1.25736,1.0817,0.93686,0.92568,0.97517,0.68434,1.07362,1.01324,0.988,0.000294344,0.000294344,0.000294344
58,7538.07,1.19527,1.22617,1.07189,0.94018,0.93216,0.97751,0.69184,1.06762,1.00363,0.98319,0.000283472,0.000283472,0.000283472
59,7646.02,1.12529,1.18083,1.04906,0.93792,0.94091,0.97987,0.68878,1.06995,0.98871,0.9832,0.000272676,0.000272676,0.000272676
60,7756.59,1.13171,1.1971,1.04781,0.95336,0.95672,0.98325,0.64952,1.18261,0.96366,1.01826,0.000261966,0.000261966,0.000261966
61,7867.12,1.23196,1.16318,1.08929,0.95571,0.95874,0.9837,0.66743,1.14303,0.9514,1.00599,0.000251354,0.000251354,0.000251354
62,7975.95,1.13558,1.10106,1.07172,0.94811,0.95173,0.98222,0.69387,1.07467,0.95003,0.98444,0.00024085,0.00024085,0.00024085
63,8083.33,1.13417,1.12197,1.05185,0.93866,0.95364,0.97979,0.69468,1.04778,0.97283,0.97524,0.000230464,0.000230464,0.000230464
64,8191.09,1.12992,1.10975,1.0695,0.93217,0.92248,0.9684,0.67559,1.08106,1.07581,0.98335,0.000220206,0.000220206,0.000220206
65,8300.14,1.1401,1.15201,1.0725,0.9268,0.93608,0.97363,0.68281,1.06238,1.07216,0.9741,0.000210087,0.000210087,0.000210087
66,8410.66,1.07658,1.08293,1.03918,0.9432,0.93434,0.97659,0.6939,1.03841,1.0475,0.96394,0.000200116,0.000200116,0.000200116
67,8520.6,1.15528,1.10044,1.04,0.94297,0.9398,0.97917,0.70349,1.02341,1.0219,0.95862,0.000190304,0.000190304,0.000190304
68,8631.04,1.08649,1.11663,1.05512,0.95797,0.93681,0.98058,0.70883,1.01851,0.96639,0.95849,0.000180659,0.000180659,0.000180659
69,8739.67,1.09923,1.08654,1.04723,0.96192,0.94016,0.98287,0.7073,1.02978,0.94151,0.96244,0.000171193,0.000171193,0.000171193
70,8849.88,1.13956,1.09599,1.05855,0.96275,0.94692,0.98406,0.70054,1.06106,0.92175,0.97364,0.000161913,0.000161913,0.000161913
71,8959.35,1.048,1.04209,1.02697,0.95981,0.96534,0.98517,0.69023,1.09049,0.91399,0.98529,0.000152829,0.000152829,0.000152829
72,9064.5,1.10037,1.07983,1.02088,0.95815,0.96759,0.98633,0.68249,1.1218,0.91546,0.99826,0.00014395,0.00014395,0.00014395
73,9177.87,1.09698,1.1041,1.06117,0.96128,0.95787,0.98614,0.67711,1.13978,0.92277,1.00458,0.000135285,0.000135285,0.000135285
74,9291.41,1.09897,1.12412,1.06435,0.96685,0.94981,0.98575,0.66773,1.16849,0.93506,1.01444,0.000126843,0.000126843,0.000126843
75,9400.64,1.11676,1.07918,1.05692,0.95688,0.96267,0.98576,0.66294,1.17326,0.93566,1.01388,0.000118631,0.000118631,0.000118631
76,9511.76,1.11034,1.04784,1.04805,0.95267,0.97371,0.98578,0.67928,1.12106,0.91792,0.99251,0.000110657,0.000110657,0.000110657
77,9621.17,1.11576,1.02627,1.0487,0.95923,0.97064,0.98555,0.69584,1.07915,0.90662,0.97833,0.000102931,0.000102931,0.000102931
78,9728.1,1.08287,1.11066,1.03595,0.9555,0.97281,0.98533,0.7051,1.03724,0.89525,0.96558,9.54582e-05,9.54582e-05,9.54582e-05
79,9836.71,1.098,1.07913,1.05068,0.95549,0.97069,0.98576,0.71113,1.01844,0.88875,0.96089,8.82475e-05,8.82475e-05,8.82475e-05
80,9946.8,1.0695,1.04446,1.04763,0.96766,0.95861,0.98654,0.71768,1.00758,0.88018,0.95925,8.13055e-05,8.13055e-05,8.13055e-05
81,10057.3,1.03471,1.00419,1.00299,0.96699,0.9642,0.98762,0.71923,1.01223,0.87705,0.96097,7.46391e-05,7.46391e-05,7.46391e-05
82,10167.1,1.02467,1.01068,1.02432,0.96597,0.9674,0.98828,0.71411,1.03085,0.8758,0.96663,6.82549e-05,6.82549e-05,6.82549e-05
83,10275.4,1.09548,1.02665,1.03593,0.96317,0.96752,0.98887,0.70932,1.05194,0.87643,0.9736,6.21592e-05,6.21592e-05,6.21592e-05
84,10385.1,1.03853,1.04206,1.0251,0.96051,0.97046,0.98915,0.70845,1.05647,0.87257,0.97539,5.63579e-05,5.63579e-05,5.63579e-05
85,10495.8,1.09092,1.09552,1.04754,0.96765,0.96093,0.98932,0.71117,1.04752,0.87049,0.97276,5.08569e-05,5.08569e-05,5.08569e-05
86,10606.8,1.06754,1.02535,1.02491,0.96993,0.96262,0.98929,0.71247,1.03817,0.86821,0.97004,4.56616e-05,4.56616e-05,4.56616e-05
87,10717.1,1.06675,1.04546,1.03266,0.96893,0.95971,0.98916,0.71577,1.02785,0.86688,0.96716,4.0777e-05,4.0777e-05,4.0777e-05
88,10825,1.09226,1.0622,1.04839,0.96783,0.9571,0.98899,0.7232,1.00781,0.86387,0.96054,3.6208e-05,3.6208e-05,3.6208e-05
89,10935.2,1.0617,1.03066,1.02134,0.96824,0.95687,0.989,0.72441,0.99973,0.86257,0.95776,3.19591e-05,3.19591e-05,3.19591e-05
90,11044.8,1.08879,1.02182,1.0453,0.96862,0.95679,0.98917,0.72643,0.99375,0.86143,0.95567,2.80345e-05,2.80345e-05,2.80345e-05
91,11151.3,1.0253,1.00543,1.01262,0.96839,0.95618,0.98944,0.72842,0.98944,0.85905,0.95434,2.44381e-05,2.44381e-05,2.44381e-05
92,11258.9,1.00158,0.99429,1.02714,0.96648,0.9617,0.98935,0.72755,0.9854,0.85824,0.95245,2.11734e-05,2.11734e-05,2.11734e-05
93,11367.1,0.99884,1.0212,1.01436,0.9633,0.96367,0.98939,0.72872,0.9855,0.85962,0.95193,1.82437e-05,1.82437e-05,1.82437e-05
94,11475.2,0.97289,0.97583,0.98629,0.9633,0.96564,0.98921,0.72708,0.98904,0.85903,0.95258,1.56517e-05,1.56517e-05,1.56517e-05
95,11581.5,1.00523,1.01193,1.01904,0.9627,0.96622,0.98899,0.72635,0.99218,0.86033,0.95321,1.34002e-05,1.34002e-05,1.34002e-05
96,11689.1,1.00121,1.00468,1.02522,0.96194,0.96421,0.98869,0.72556,0.99468,0.86574,0.95374,1.14913e-05,1.14913e-05,1.14913e-05
97,11798.6,0.9798,1.00148,0.99913,0.96079,0.96469,0.98864,0.72589,0.9984,0.86821,0.95455,9.9269e-06,9.9269e-06,9.9269e-06
98,11905.9,0.96027,0.98558,0.98622,0.96042,0.96623,0.98668,0.72203,1.00742,0.86832,0.95679,8.70853e-06,8.70853e-06,8.70853e-06
99,12014,0.9926,0.98126,1.01992,0.95956,0.96618,0.98656,0.72061,1.01354,0.86911,0.95852,7.83741e-06,7.83741e-06,7.83741e-06
100,12121,0.98576,0.9938,1.02105,0.95898,0.96587,0.9865,0.71891,1.01795,0.87254,0.95953,7.3144e-06,7.3144e-06,7.3144e-06
